Start of new run - 12/15/11 12:25:27
width, voltage, fitness
30, 0, 0.1, 1
30, 0, 0.2, 1
30, 0, 0.3, 1
30, 0, 0.4, 1
30, 0, 0.5, 1
30, 0, 0.6, 1
30, 0, 0.7, 1
30, 0, 0.8, 1
30, 0, 0.9, 1
30, 0, 1, 1
30, 0, 1.1, 1
30, 0, 1.2, 1
30, 0, 1.3, 1
30, 0, 1.4, 1
30, 0, 1.5, 1
30, 0, 1.6, 1
30, 0, 1.7, 1
30, 0, 1.8, 1
30, 0, 1.9, 1
30, 0, 2, 1
30, 0, 2.1, 1
30, 0, 2.2, 1
30, 0, 2.3, 1
30, 0, 2.4, 1
30, 0, 2.5, 1
30, 0, 2.6, 1
30, 0, 2.7, 1
30, 0, 2.8, 1
30, 0, 2.9, 1
30, 0, 3, 1
30, 0, 3.1, 1
30, 0, 3.2, 1
30, 0, 3.3, 1
30, 0, 3.4, 1
30, 0, 3.5, 1
30, 0, 3.6, 1
30, 0, 3.7, 1
30, 0, 3.8, 1
30, 0, 3.9, 1
30, 0, 4, 1
30, 0, 4.1, 1
30, 0, 4.2, 1
30, 0, 4.3, 1
30, 0, 4.4, 1
30, 0, 4.5, 1
30, 0, 4.6, 1
30, 0, 4.7, 1
30, 0, 4.8, 1
30, 0, 4.9, 1
30, 0, 5, 1
30, 0, 5.1, 1
30, 0, 5.2, 1
30, 0, 5.3, 1
30, 0, 5.4, 1
30, 0, 5.5, 1
30, 0, 5.6, 1
30, 0, 5.7, 1
30, 0, 5.8, 1
30, 0, 5.9, 1
30, 0, 6, 1
30, 0, 6.1, 1
30, 0, 6.2, 0.99969259145404
30, 0, 6.3, 0.99969502897225
30, 0, 6.4, 0.99814241486068
30, 0, 6.5, 0.99662783568363
30, 0, 6.6, 0.99542124542125
30, 0, 6.7, 0.99264705882353
30, 0, 6.8, 0.99383096853794
30, 0, 6.9, 0.98996235884567
30, 0, 7, 0.98782391507961
30, 0, 7.1, 0.98219766728054
30, 0, 7.2, 0.98068669527897
30, 0, 7.3, 0.97596003746488
30, 0, 7.4, 0.97223069880989
30, 0, 7.5, 0.97128431681919
30, 0, 7.6, 0.96398046398046
30, 0, 7.7, 0.96156230626162
30, 0, 7.8, 0.96717791411043
30, 0, 7.9, 0.9519877675841
30, 0, 8, 0.94621026894866
30, 0, 8.1, 0.94065190651907
30, 0, 8.2, 0.92640432562331
30, 0, 8.3, 0.9203995157385
30, 0, 8.4, 0.90693374422188
30, 0, 8.5, 0.89762340036563
30, 0, 8.6, 0.90926099158092
30, 0, 8.7, 0.88281485955905
30, 0, 8.8, 0.88333840999086
30, 0, 8.9, 0.86479128856624
30, 0, 9, 0.85521472392638
30, 0, 9.1, 0.84542393633303
30, 0, 9.2, 0.82639974976541
30, 0, 9.3, 0.81612013484523
30, 0, 9.4, 0.79468971904909
30, 0, 9.5, 0.78958921291941
30, 0, 9.6, 0.79379504857411
30, 0, 9.7, 0.76846246973366
30, 0, 9.8, 0.77395801642835
30, 0, 9.9, 0.77217928902628
30, 0, 10, 0.75176651305684
30, 0, 10.1, 0.74208422994159
30, 0, 10.2, 0.72701863354037
30, 0, 10.3, 0.73718344657196
30, 0, 10.4, 0.73383084577114
30, 0, 10.5, 0.72923638576209
30, 0, 10.6, 0.73483215275639
30, 0, 10.7, 0.72230698809887
30, 0, 10.8, 0.70385208012327
30, 0, 10.9, 0.6890756302521
30, 0, 11, 0.70199692780338
30, 0, 11.1, 0.69126691266913
30, 0, 11.2, 0.69149267684637
30, 0, 11.3, 0.69461444308446
30, 0, 11.4, 0.68961315869631
