Start of new run - 12/14/2011 4:47:03 PM
width, voltage, fitness
30, 0, 0
30, 1, 0
30, 2, 0
30, 3, 0
30, 4, 0
30, 5, 0
30, 6, 0
30, 7, 0
30, 8, 0
30, 9, 0
30, 10, 0
30, 11, 0
30, 12, 0
30, 13, 0
30, 14, 0
30, 15, 0
30, 16, 0
30, 17, 0
30, 18, 0
30, 19, 0
34, 0, 0
34, 1, 0
34, 2, 0
34, 3, 0
34, 4, 0
34, 5, 0
34, 6, 0
34, 7, 0
34, 8, 0
34, 9, 0
34, 10, 0
34, 11, 0
34, 12, 0
34, 13, 0
34, 14, 0
34, 15, 0
34, 16, 0
34, 17, 0
34, 18, 0
34, 19, 0
38, 0, 0
38, 1, 0
38, 2, 0
38, 3, 0
38, 4, 0
38, 5, 0
