Start of new run - 12/14/11 17:16:21
width, voltage, fitness
54, 75, 0.89827429609446
54, 80, 0.87066831683168
54, 85, 0.80826952526799
54, 90, 0.72027110289587
54, 95, 0.6596599690881
58, 0, 0.57819314641745
58, 5, 0.67870485678705
58, 10, 0.75286111970306
58, 15, 0.80197713932654
58, 20, 0.84879093970003
58, 25, 0.8675292667899
58, 30, 0.91234567901235
58, 35, 0.94154228855721
58, 40, 0.96438525859399
58, 45, 0.97652016857315
58, 50, 0.97187404463467
58, 55, 0.95920274057926
58, 60, 0.9482917820868
58, 65, 0.94497095689392
58, 70, 0.90833844267321
58, 75, 0.89422195047386
58, 80, 0.84722222222222
58, 85, 0.77482432019554
58, 90, 0.69854082583049
58, 95, 0.64450600184672
62, 0, 0.59403170655891
62, 5, 0.69310021854511
62, 10, 0.76330108827086
62, 15, 0.83474178403756
62, 20, 0.85749844430616
62, 25, 0.86905857099049
62, 30, 0.92125739184563
62, 35, 0.95593635250918
62, 40, 0.98439450686642
62, 45, 0.98772629640994
62, 50, 0.97852760736196
62, 55, 0.96683750376847
62, 60, 0.9607783520827
62, 65, 0.93810264385692
62, 70, 0.92194674012856
62, 75, 0.89151813153042
62, 80, 0.83430321592649
62, 85, 0.76676923076923
62, 90, 0.68081857055589
62, 95, 0.65435518621114
66, 0, 0.5849742502272
66, 5, 0.69902020820576
66, 10, 0.76923076923077
66, 15, 0.84416767922236
66, 20, 0.86227909811091
66, 25, 0.8993002738059
66, 30, 0.94829721362229
66, 35, 0.97800855222969
66, 40, 0.99331306990881
66, 45, 0.98767334360555
66, 50, 0.98155427880254
66, 55, 0.97371675943105
66, 60, 0.96163290362185
66, 65, 0.94575966436919
66, 70, 0.92813267813268
66, 75, 0.88888888888889
66, 80, 0.83951367781155
66, 85, 0.75030712530713
66, 90, 0.66738794435858
66, 95, 0.64410480349345
70, 0, 0.57710064635272
70, 5, 0.69783073632753
70, 10, 0.77447069653268
70, 15, 0.85115697310819
70, 20, 0.86155256723716
70, 25, 0.91915155241316
70, 30, 0.96455223880597
70, 35, 0.99506781750925
70, 40, 0.99452887537994
70, 45, 0.99267622825755
70, 50, 0.98449376710246
70, 55, 0.97807551766139
70, 60, 0.96556931440652
70, 65, 0.95788831248093
70, 70, 0.9283973187081
70, 75, 0.89680050188206
70, 80, 0.844567559249
70, 85, 0.73889059148023
70, 90, 0.64140480591497
70, 95, 0.64345146379045
74, 0, 0.58307012002527
74, 5, 0.70332401366884
74, 10, 0.79056138186305
74, 15, 0.85692212608158
74, 20, 0.88207985143918
74, 25, 0.93677256999056
74, 30, 0.98245614035088
74, 35, 1
74, 40, 0.99634591961023
74, 45, 0.99265605875153
74, 50, 0.98553846153846
74, 55, 0.97619047619048
74, 60, 0.96734442390635
74, 65, 0.95664122137405
74, 70, 0.94006796416435
74, 75, 0.90449784349969
74, 80, 0.82670283303195
74, 85, 0.71820448877805
74, 90, 0.64213431462741
74, 95, 0.63440215762661
78, 0, 0.59643186711781
78, 5, 0.70960897241588
78, 10, 0.8078335373317
78, 15, 0.8426862925483
78, 20, 0.89188361408882
78, 25, 0.95666976168369
78, 30, 0.99635811836115
78, 35, 1
78, 40, 0.99938347718866
78, 45, 0.99478847332925
78, 50, 0.98751170777396
78, 55, 0.98092307692308
78, 60, 0.96691176470588
78, 65, 0.96346330979429
78, 70, 0.94648829431438
78, 75, 0.91332712022367
78, 80, 0.83569667077682
78, 85, 0.68954949433037
78, 90, 0.63664596273292
78, 95, 0.67833698030635
82, 0, 0.59806001818733
82, 5, 0.72081531809759
82, 10, 0.82317258113436
82, 15, 0.85280588776449
82, 20, 0.92276674937965
82, 25, 0.97039072039072
82, 30, 1
82, 35, 1
82, 40, 0.99908060067423
82, 45, 0.99753694581281
82, 50, 0.99347420758235
82, 55, 0.98982737361282
82, 60, 0.97874961502926
82, 65, 0.97454768475928
82, 70, 0.94925742574257
82, 75, 0.91803278688525
82, 80, 0.79473845212603
82, 85, 0.66789781471222
82, 90, 0.67196575970651
82, 95, 0.7311795184395
86, 0, 0.58903694730466
86, 5, 0.72002453235204
86, 10, 0.83246554364472
86, 15, 0.86727828746177
86, 20, 0.93767528825179
86, 25, 0.98629283489097
86, 30, 1
86, 35, 1
86, 40, 0.99969202340622
86, 45, 0.99818785865297
86, 50, 0.9932224276032
86, 55, 0.99111791730475
86, 60, 0.9875304136253
86, 65, 0.97246558197747
86, 70, 0.95580110497238
86, 75, 0.90561937286557
86, 80, 0.75609756097561
86, 85, 0.6941971139085
86, 90, 0.74225173940544
86, 95, 0.64870624048706
90, 0, 0.5738255033557
90, 5, 0.71522970421649
90, 10, 0.83394049787492
90, 15, 0.8875849289685
90, 20, 0.94628997205837
90, 25, 0.99877750611247
90, 30, 1
90, 35, 1
90, 40, 1
90, 45, 1
