Start of new run - 12/13/2011 11:49:38 AM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
20	0.83495145631068	91.266296347946	50	155.60810730858	-48.829583958702	-46.171310058901	-31.020063839536
1	0.81629834254144	89.55974381791	50	168.4045537653	-41.871472551204	-77.004566260872	-21.595446234701
2	0.79597701149425	25	50	110.3968767652	-14.379031482894	-51.179888703269	3.3428159635318
3	0.82422451994092	29.484930448254	100	100	-16.871183471086	26.339399267556	-1.4874960170293
4	0.78021978021978	42.9357072887	50	116.66510081407	-53.952506041562	-13.467400204779	-13.721855540707
5	0.81705639614856	66.646501894497	50	112.2833878944	-38.994521837161	-32.733056185797	-7.4468011538033
6	0.79242636746143	25	50	122.92480644856	-76.3855612081	-25.023808340098	8.9838765312019
7	0.82620689655172	25	100	127.9174204554	-45.650168188643	16.042750202033	16.732194257161
8	0.79432624113475	25	50	190	-44.153659715873	-10.45835017243	0.14060804925688
9	0.7260083449235	109.80788300867	100	100	-26.086409029048	17.054434886624	-2.38542636433
10	0.8158273381295	27.171614100981	50	105.87576231483	2.1716141009809	-3.5760055116428	5.8757623148289
11	0.81726618705036	59.792352436906	100	100	-11.085085480251	44.232554978484	-13.104688797876
12	0.79256080114449	25	50	130.39881588485	-43.806478538053	-7.5895765153966	20.59340676666
13	0.84005563282337	25	100	107.90843022684	-6.0989235054004	26.668718625141	-2.9807786466313
14	0.81632653061224	25	100	100	-28.655076635029	42.097955676443	-21.684581184423
15	0.84366197183099	45.107616822891	50	100	-40.06794044649	-38.22798361919	-23.584928765526
16	0.82087447108604	25	100	100	-69.939862614375	38.934068811304	-7.2468967915891
17	0.83730715287518	56.39463174669	50	100	12.495904018309	-5.4797046559038	-26.775374764055
18	0.78014184397163	25	50	126.05500576483	-38.656892026124	-6.6132226499222	25.075626046946
19	0.8352435530086	76.900800602292	50	137.52285358512	-43.188136239653	-4.3141637031159	-26.810486534511
20	0.79315263908702	39.314807748536	50	121.98807456585	-51.951488599411	-37.24580477401	-33.620032742732
