Start of new run - 12/13/2011 11:49:38 AM
iterationVoltage no=4, best_conf_fitness=0.78737997256516 ,e1=200 ,e2=191.58951020844 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.78737997256516 ,e1=200 ,e2=191.58951020844 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.78737997256516 ,e1=200 ,e2=191.58951020844 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.79178885630499 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.79178885630499 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.79178885630499 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.79884225759768 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.79884225759768 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.79884225759768 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.79884225759768 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.80397727272727 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.81440443213296 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.81440443213296 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.81440443213296 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=18, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=19, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=20, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=21, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=22, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=23, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=24, best_conf_fitness=0.81560283687943 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.68741159830269 ,e1=142 ,e2=49 ,e3=18
iterationVoltage no=2, best_conf_fitness=0.72284122562674 ,e1=200 ,e2=0 ,e3=24.3
iterationVoltage no=3, best_conf_fitness=0.77492877492877 ,e1=167.50839336559 ,e2=200 ,e3=11.132069936277
iterationVoltage no=4, best_conf_fitness=0.80952380952381 ,e1=171.70500010009 ,e2=200 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.81962481962482 ,e1=175.48194616114 ,e2=200 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.85419532324622 ,e1=200 ,e2=200 ,e3=0.15849879953498
iterationVoltage no=7, best_conf_fitness=0.85419532324622 ,e1=200 ,e2=200 ,e3=0.15849879953498
iterationVoltage no=8, best_conf_fitness=0.85694249649369 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.85694249649369 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.86768802228412 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.86768802228412 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=18, best_conf_fitness=0.86962750716332 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.66124661246612 ,e1=137 ,e2=5 ,e3=35
iterationVoltage no=2, best_conf_fitness=0.69027777777778 ,e1=200 ,e2=45.660231330302 ,e3=62.317944883572
iterationVoltage no=3, best_conf_fitness=0.76628895184136 ,e1=200 ,e2=37.254439527573 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.80747922437673 ,e1=200 ,e2=29.689226905118 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.81768707482993 ,e1=200 ,e2=0 ,e3=1.4683523423457
iterationVoltage no=6, best_conf_fitness=0.85310734463277 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.85310734463277 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.85310734463277 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.85310734463277 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.85310734463277 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.85310734463277 ,e1=200 ,e2=0 ,e3=0
