Start of new run - 12/13/2011 11:49:38 AM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
1	0.32621082621083	86	169	43	195	-71	187
2	0.5028328611898	153	127	81	165	-27	123
3	0.4504132231405	56	66	88	142	-40	123
4	0.45303867403315	133	139	164	-92	32	72
5	0.70124481327801	138	17	13	99	187	53
6	0.46530612244898	161	175	29	57	-42	-56
7	0.62274618585298	107	17	167	-198	146	148
8	0.40489913544669	109	131	152	-150	33	-121
9	0.63068181818182	173	87	37	16	-155	60
10	0.38493150684932	71	104	199	85	16	-32
1	0.71074380165289	200	49.520056764428	200	194.51419110691	-119.47994323557	157.3302743614
2	0.69209039548023	200	60.946864223151	165.88897061068	142.80639057588	-66.053135776849	84.888970610675
3	0.71546961325967	198.55859859004	21.1808374279	185.2012817774	142.55859859004	-44.8191625721	97.201281777398
4	0.36675824175824	52.628281502731	108.54993133335	155.46589861751	-80.371718497269	-30.450068666646	-8.5341013824885
5	0.5063829787234	200	185.3	60.7	89.1	168.3	47.7
6	0.67415730337079	200	85.752476577044	0	43.810803552355	-89.247523422956	-55.609875789666
7	0.18741058655222	0	148.4	200	-173.42563859981	131.4	109.48220465712
8	0.25482093663912	0	129.70808740501	5.3116153447066	-127.11609241005	-1.2919125949889	-146.68838465529
9	0.74965034965035	184.50371715445	0	89.01397747734	11.503717154454	-145.29256569109	52.01397747734
10	0.60533707865169	164.45600756859	96.382497634816	123.12809839167	93.45600756859	-7.6175023651845	-75.871901608325
1	0.74697173620458	200	0	200	172.0275492629	-117.23133318015	119.85865954923
2	0.73430656934307	200	0	200	126.15427685388	-68.77482957387	64.63550391958
3	0.74757281553398	200	0	200	127.59971585214	-41.396708351217	82.669880314103
4	0.3988603988604	30.139152098012	59.884920202052	132.70211897392	-22.489129404719	-48.665011131302	-22.763779643596
5	0.49723756906077	200	200	103.19674700705	77.159333375676	136.48514358959	42.496747007049
6	0.76437587657784	200	0	0	31.774984156682	-122.6821444098	-6.0784228202696
7	0.16129032258065	0	200	200	-97.928100755115	70.356164433729	64.332337657985
8	0.28301886792453	0	91.785658225419	0	-46.417873459763	-37.922429179592	-87.404870410089
9	0.73779637377964	194.85706259346	0	135.82655720695	10.353345439009	-130.76330912198	46.812579729606
10	0.72166427546628	200	55.351506736347	42.7472257502	91.21890969034	-41.030990898468	-80.380872641475
1	0.73388203017833	200	0	200	154.82479433661	-105.50819986214	101.51578807046
2	0.74581005586592	200	0	170.02839445905	113.53884916849	-61.897346616483	-29.971605540953
3	0.7521613832853	200	0	200	114.83974426693	-37.257037516095	41.790813056642
4	0.59887005649718	89.095644533378	22.137866459531	83.21961440521	58.956492435366	-37.747053742521	-49.482504568705
5	0.53586497890295	200	200	110.15252495378	63.638102024864	61.425383159887	6.9557779467303
6	0.78235294117647	200	0	0	28.597485741014	-110.41392996882	-5.4705805382427
7	0.22824536376605	15.947219162616	139.06198297067	173.46170040697	15.947219162616	-60.938017029328	-26.538299593028
8	0.40469613259669	9.0623611044511	38.852188893231	0	9.0623611044511	-52.933469332188	-70.951892143151
9	0.75918367346939	200	0	100.42334602185	9.6230743436302	-117.68697820978	-35.403211185099
10	0.79125528913963	200	0	0	82.097018721306	-63.765779417304	-93.069325771819
1	0.74135546334716	200	0	200	139.34231490295	-94.957379875925	1.7771246966201
2	0.74557823129252	200	0	132.88867267708	102.18496425164	-55.707611954835	-37.139721781965
3	0.71910112359551	200	0	200	103.35576984023	-33.531333764486	13.047383473748
4	0.72274562584118	156.39395747436	0	28.001949911115	67.298312940978	-36.814321550495	-55.217664494095
5	0.54019746121298	200	200	110.14259747113	53.796335341772	43.527960356456	-0.0099274826441875
6	0.77202797202797	200	0	0	25.737737166912	-99.372536971941	-4.9235224844184
7	0.65659340659341	115.64977229327	8.1022590933912	86.462104157905	99.702553130652	-130.95972387728	-86.999596249068
8	0.65116279069767	88.162608795699	0	0	79.100247691248	-55.469443270278	-54.92930646288
9	0.75251798561151	200	0	64.839824158923	8.6607669092672	-105.91828038881	-35.583521862924
10	0.78631284916201	200	0	0	73.887316849175	-57.389201475574	-83.762393194637
1	0.76617647058824	200	0	185.85796503924	125.40808341265	-85.461641888332	-14.142034960761
2	0.78804347826087	200	0	46.415403513071	91.966467826477	-50.136850759351	-86.473269164011
3	0.74581005586592	200	0	197.12733093832	93.02019285621	-30.178200388037	-2.8726690616823
4	0.76638176638177	200	0	0	77.647193361497	-33.132889395446	-60.663121903577
5	0.5875	200	146.90462078616	59.52760990778	44.862680993971	-53.095379213843	-50.614987563355
6	0.79603399433428	200	0	0	23.163963450221	-89.435283274747	-4.4311702359766
