Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
4	0.34699853587116	25	95.193409406077	103.02108004822	-22.546837571947	30.566942429637	3.0210800482192
5	0.34794908062235	150	100	118.47230958831	17.657586572771	77.785218313852	18.472309588305
6	0.34659090909091	90.01417358902	100	190	26.681215886843	108.75099965728	23.063153859371
7	0.33666191155492	34.472810119938	69.774174851273	190	9.4728101199377	16.955852606332	38.3996074279
8	0.3447782546495	52.613409479277	100	173.04649259185	-35.973285239883	34.663621252787	12.53113199903
9	0.34487734487734	25	100	100	-49.215917376324	104.35964057253	-14.758786386972
10	0.34214390602056	102.28391455702	100	147.83278929314	29.070512485499	39.998466947305	32.598999771217
11	0.35605006954103	114.0492204742	100	162.75312445406	20.758973119754	95.120517319254	2.2364981100791
12	0.36363636363636	38.57511045381	100	149.95205680653	13.57511045381	50.426248337777	32.503177159329
13	0.35050071530758	107.54090143886	96.135083890632	190	4.5705052517695	32.817181189744	38.589359866024
14	0.3475073313783	113.31302244496	100	159.73700415436	19.177502542284	60.735346618244	-20.601954880649
15	0.34297520661157	150	100	190	2.7361373327214	15.698629102035	9.0668166117278
16	0.34687953555878	82.21941598125	100	145.97904374212	28.197274650033	86.009839729301	23.518478609521
17	0.34116022099448	88.497840723544	100	155.58014041658	-29.043172851104	27.088449247386	-14.848081731627
18	0.34330484330484	25	100	190	-7.5075092223884	32.983337232457	17.235946298715
19	0.33882030178326	133.41204443908	100	179.17767698506	21.382210749822	47.238764575886	12.213096879066
20	0.34887005649718	25	50	176.55179245654	-26.094732391125	-28.240825498215	-10.320259870812
1	0.34328358208955	44.928972668551	50	159.4728685441	14.499734325518	-3.6632503958556	-6.2596908804633
2	0.35755813953488	54.013602073021	100	190	14.938708951423	57.479935470412	18.832131245796
3	0.35051546391753	46.705841209479	100	172.33098402061	21.705841209479	115.42142083386	-17.66901597939
4	0.34674063800277	36.399243017426	100	133.11984236256	11.399243017426	41.145707436779	30.098762314339
5	0.35343618513324	141.44305323365	100	146.94533158509	-8.5569467663503	81.229084861019	28.473021996789
6	0.33333333333333	118.59176938921	100	190	28.577595800188	120.22952376455	12.116236648427
7	0.34277620396601	55.035020884932	97.321234925102	190	20.562210764994	27.547060073829	27.270621141118
8	0.34210526315789	38.464404251956	100	170.6466843788	-14.149005227321	44.43742758968	-2.3998082130486
9	0.35158501440922	25	100	100	-36.54311252794	97.314832251228	-6.1372581618003
10	0.35371179039301	126.92311743776	100	175.86311437278	24.639202880741	36.428870199167	28.030325079637
11	0.36766809728183	121.60261121088	100	162.7710237184	7.5533907366797	90.788219608142	0.017899264340478
12	0.35437589670014	59.144279293898	100	180.70347234939	20.569168840088	50.021094129934	30.751415542854
13	0.33193863319386	106.75181137551	100	190	-0.78909006335648	33.19711526794	28.249345355296
14	0.35461956521739	113.03715476653	100	140.66368498578	-0.27586767842764	74.856642120914	-19.073319168575
15	0.34907010014306	138.29634051163	100	190	-11.703659488366	20.345813831225	1.2578514772653
16	0.34326241134752	108.70969340611	100	170.952800644	26.490277424856	88.180058490829	24.973756901875
17	0.3441466854725	62.961912601554	100	143.13876786844	-25.53592812199	29.715643630487	-12.441372548147
18	0.3371757925072	39.830814562792	100	190	14.830814562792	35.871563157638	5.0558710633564
19	0.32925170068027	149.96654788128	100	188.84290530711	16.5545034422	43.386069489799	9.6652283220537
20	0.34045584045584	25	50	162.72688902501	-16.718451082919	-17.169695614185	-13.824903431537
1	0.34555712270804	57.792617955405	50	156.55571327449	12.863645286854	-1.6663213949675	-2.9171552696047
2	0.35277382645804	78.605035824932	100	190	24.591433751911	60.652685354262	7.0723807513016
3	0.34277620396601	75.022051602931	100	151.52970059322	28.316210393452	111.63574104485	-20.801283427391
4	0.36039886039886	49.03574335428	100	153.62139940808	12.636500336854	32.109268856044	20.50155704552
5	0.34558823529412	128.32375183888	100	173.10774370583	-13.119301394769	76.070927496472	26.162412120732
6	0.35195530726257	135.42893638669	100	190	16.837166997482	120.21466489681	1.6799631834803
7	0.35028248587571	84.75937305373	100	190	29.724352168799	33.246827087166	11.656141808463
8	0.34679665738162	57.726571879557	100	158.08306936156	19.262167627601	57.505834249335	-12.563615017236
9	0.34664764621969	25	100	119.15718300824	-6.1164998743461	99.296230888955	19.157183008242
10	0.34454912516824	135.26624761924	100	190	8.3431301814801	42.998758227317	19.076607082424
11	0.35055865921788	116.27082391177	100	161.38411934889	-5.3317872991091	92.126829819941	-1.386904369513
12	0.34826589595376	81.176588633313	100	190	22.032309339415	49.397963567614	22.564027357898
13	0.35386819484241	104.15479133408	100	190	-2.5970200414256	24.752796666955	25.009084424308
14	0.35446685878963	98.563473367601	100	134.34929090685	-14.473681398932	83.941625206409	-6.3143940789298
15	0.35441176470588	110.12319500967	100	183.01619372345	-28.173145501959	25.450732554917	-6.9838062765475
16	0.36016949152542	118.76452085143	100	182.48884456254	10.054827445328	83.751285711603	11.536043918546
17	0.33938547486034	57.282171102968	100	142.03780660931	-5.6797414985859	40.135662262525	-1.1009612591297
18	0.34883720930233	50.806931918582	100	190	10.97611735579	23.553061280792	4.3847210431135
