Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
4	0.28981348637016	0	156.59136693927	200	-101.72493327319	22.233865757366	76.392757267944
5	0.31609195402299	0	200	200	-70.353148773998	11.476934866787	22.255970738922
6	0.32568149210904	97.341309387514	55.336472119002	200	-51.555025972279	39.05295333637	112.28064978038
7	0.29496402877698	62.43384447792	122.07984670403	73.515396247585	-82.614427359554	86.981704118506	68.982949956018
8	0.30465444287729	5.6716321701885	38.047559392682	200	5.6716321701885	38.047559392682	12.290220005869
9	0.30229226361032	0	140.59412968209	200	-58.845218261201	-5.7618473641866	48.670856359071
10	0.3135838150289	2.0356980684856	2.548360986053	200	-5.3576370701801	2.548360986053	102.24487196647
1	0.2951724137931	0	11.218059934538	151.01174083421	-44.695774628731	11.218059934538	11.16613831057
2	0.30703012912482	0	158.11831674833	200	-103.24780164881	52.7763485685	33.981336639729
3	0.30351906158358	0	127.54319620029	133.91216353081	-45.701257503738	21.608753103352	-27.845367255198
4	0.30520393811533	0	179.44712379355	200	-87.962140786367	22.85575685428	68.532252867189
5	0.28230337078652	0	200	200	-63.317833896598	10.329241380108	19.067010841146
6	0.3008356545961	17.075283141893	151.51515898195	200	-80.266026245621	96.17868686295	99.928315264759
7	0.31107954545455	0	190.92554780442	138.87396482949	-63.394553010705	68.84570110039	65.358568581905
8	0.32086330935252	36.105860989623	99.835248772885	179.91132666465	30.434228819434	61.787689380204	-20.088673335353
9	0.33483483483483	0	150.33678776101	200	-52.960696435081	9.7426580789209	43.356050939436
10	0.31043956043956	0	56.835133564221	200	-2.850124019484	54.286772578168	91.424491303351
1	0.296918767507	0	35.612764679187	139.42407984474	-40.226197165858	24.394704744649	-11.587660989469
2	0.32590529247911	0	200	200	-91.856985533125	55.530576969109	27.765358910893
3	0.31875881523272	0	154.95083688696	126.27877239796	-41.131131753364	27.407640686669	-7.6333911328534
4	0.30379746835443	0	196.94209650418	200	-73.26765186585	17.494972710629	61.499210492867
5	0.31205673758865	0	200	200	-56.986050506939	9.2963172420972	15.855046822662
6	0.28045325779037	0	200	200	-69.484705272956	92.767054664532	89.278057607362
7	0.3342736248237	0	200	188.5921518259	-23.153987292443	28.977084234176	49.718186996414
8	0.31276901004304	87.240678924823	139.50310867779	130.76142877357	51.1348179352	39.6678599049	-49.149897891073
9	0.33518776077886	0	167.7792290339	200	-47.664626791573	17.442441272882	38.626760615058
10	0.28879310344828	3.1113331938577	108.93265024567	200	3.1113331938577	52.09751668145	82.077254311579
1	0.26086956521739	0	58.200359373652	92.614056537796	-36.203577449272	22.587594694464	-46.810023306944
2	0.30979827089337	0	200	200	-82.671286979812	49.977519272198	24.523630573393
3	0.35636856368564	0	178.43755107499	136.02004572905	-37.018018578027	23.486714188035	9.7412733310924
4	0.32267037552156	0	199.21692799809	200	-53.420802886979	2.2748314939132	55.039321655997
5	0.2958152958153	0	200	200	-51.287445456245	8.3666855178875	13.430661719621
6	0.29305555555556	0	200	200	-34.126557672098	48.436928360926	79.550602368873
7	0.28591749644381	0	200	200	-20.838588563199	26.079375810758	47.146214775469
8	0.2875175315568	120.33378032634	170.81727345028	87.561012437217	33.093101401516	31.31416477249	-43.200416336358
9	0.25523012552301	0	188.95850706468	200	-42.898164112415	21.179278030785	34.380649034692
10	0.29793103448276	12.976015091939	163.32221913136	200	9.8646818980809	54.389568885689	72.930373261253
1	0.30911680911681	0	113.25745349504	53.02525347367	-32.583219704345	55.057094121391	-39.588803064125
2	0.28696925329429	0	200	200	-74.404158281831	43.737690793999	18.385786279248
3	0.30543933054393	0	199.57559384422	144.78719172703	-33.316216720225	21.138042769231	8.7671459979832
4	0.30338733431517	0	200	200	-48.078722598281	1.2942885558266	47.216709242076
5	0.29302987197724	0	196.75701817612	180.03446276825	-46.15870091062	-3.242981823882	-19.96553723175
6	0.29295774647887	7.4046868825857	189.60973257643	200	7.4046868825857	-10.390267423572	50.971491502177
7	0.32117812061711	0	200	200	-18.754729706879	22.976252743795	39.324477731826
8	0.31145251396648	118.31076241654	175.91410338192	54.08514329035	-2.0230179098024	5.0968299316469	-33.475869146867
9	0.30678466076696	0	199.83959772806	199.02387590443	-38.608347701174	10.881090663381	-0.97612409556846
10	0.29494382022472	18.143501595456	200	200	5.1674865035178	41.299407776062	38.882206585547
1	0.31514324693042	0	159.45994156775	23.508549913732	-29.324897733911	46.20248807271	-29.516703559939
2	0.29254571026723	0	200	186.57814340596	-66.963742453648	29.263782937003	-13.421856594037
3	0.30845070422535	0	200	150.40301335708	-29.984595048202	13.540036612549	5.6158216300445
4	0.30403458213256	0	199.07476638696	200	-43.270850338453	-0.92523361303603	36.821837929238
5	0.29281767955801	0	186.16615590163	144.84257113412	-41.542830819558	-10.590862274487	-35.191891634134
6	0.28424153166421	37.515671344792	145.48242196706	200	30.110984462206	-44.127310609365	26.740104799599
7	0.29763560500695	0	200	200	-16.879256736191	20.616441385141	32.423108390585
8	0.31240657698057	88.708673753543	174.9208315993	43.178919559224	-29.602088662994	-0.9932717826186	-10.906223731126
9	0.28591749644381	0	200	182.49770494867	-34.747512931056	2.8841094046805	-16.526170955765
10	0.33425034387895	15.635805803763	200	200	-2.5076957916929	20.881102084994	7.8747017426217
1	0.31465517241379	0	164.05173066358	44.445177852712	-26.39240796052	4.5917890958255	20.936627938981
2	0.3061797752809	0	200	165.70463534698	-60.267368208283	22.147905113866	-20.873508058984
3	0.33516483516484	0	197.34106304089	145.55509734989	-26.986135543382	-2.6589369591141	-4.8479160071844
4	0.28882438316401	0	193.07202008275	200	-38.943765304608	-6.0027463042176	17.066074511738
5	0.31276297335203	0	177.08520001185	123.73779319538	-37.388547737602	-9.0809558897814	-21.104777938731
6	0.30547945205479	81.554526392887	84.527323528276	200	44.038855048095	-60.955098438787	14.424289632302
7	0.29014084507042	0	200	200	-15.191331062572	10.765743421106	5.0484266054596
8	0.29344729344729	39.096817341081	146.97091444232	67.065205031169	-49.611856412461	-27.949917156984	23.886285471945
9	0.30477528089888	0	191.34503753676	154.51422923176	-31.272761637951	-8.6549624632364	-27.983475716905
10	0.3041018387553	12.914582003818	200	200	-2.7212237999458	18.1527055273	5.1873781943663
1	0.27747252747253	0	149.54376303976	64.072553997206	-23.753167164468	-14.507967623823	19.627376144493
2	0.30600292825769	0	200	144.54210269742	-54.240631387455	17.209100889748	-21.162532649562
3	0.34236804564907	0	181.43080010189	134.37380139882	-24.287521989044	-15.910262939	-11.181295951074
4	0.26600284495021	0	185.70456505979	200	-35.049388774147	-7.3674550229584	0.67709558498139
5	0.28409090909091	0	172.71739538444	117.69671461883	-33.649692963842	-4.3678046274116	-6.0410785765542
6	0.31020408163265	111.59730014681	43.221114943557	191.21067349536	30.042773753924	-41.306208584719	-8.7893265046428
7	0.32658959537572	0	200	178.34362500865	-13.672197956315	1.292073540571	-21.656374991353
8	0.29178082191781	9.4267073219724	100.83860698213	100.09916737801	-29.670110019109	-46.132307460189	33.033962346836
9	0.27724137931034	0	176.45686154117	139.7334706585	-28.145485474156	-14.888175995595	-14.78075857326
10	0.31301939058172	8.8930653414106	200	193.29392729148	-4.0215166624071	12.503942551931	-6.7060727085212
1	0.28693181818182	0	132.62308016619	99.299109291048	-21.377850448021	-16.920682873568	35.226555293842
2	0.28326180257511	0	200	127.85511043709	-48.816568248709	5.1560880580276	-16.686992260323
3	0.2836676217765	0	165.96989569079	124.93853605272	-21.858769790139	-15.460904411094	-9.4352653460982
4	0.32506887052342	0	177.61637078695	176.55661748842	-31.544449896732	-8.0881942728397	-23.44338251158
5	0.33888888888889	0	173.54612129488	126.66421475213	-30.284723667458	0.82872591044195	8.9675001333007
6	0.27705627705628	135.27771696362	13.104807935471	180.0576161003	23.68041681681	-30.116307008085	-11.153057395059
7	0.29232995658466	0	193.0924943607	144.96843544443	-12.304978160683	-6.9075056392954	-33.375189564213
8	0.30441176470588	15.80043937869	47.424500506394	116.82215295052	6.3737320567179	-53.414106475737	16.722985572518
9	0.30539772727273	0	162.15703309902	136.82962865688	-25.33093692674	-14.299828442148	-2.9038420016247
10	0.30705394190871	2.5965465314895	200	162.91898036308	-6.2965188099212	1.6022022119993	-30.374946928403
1	0.31098430813124	0	93.719028600423	113.65560288141	-19.240065403219	-38.904051565766	14.356493590363
2	0.30193905817175	0	200	116.2956272025	-43.934911423838	3.9245167158191	-11.559483234589
3	0.31188811188811	0	157.39311177898	121.19134863596	-19.672892811125	-8.5767839118152	-3.7471874167573
4	0.31303116147309	0	170.74449102741	135.34207114336	-28.390004907059	-6.8718797595363	-41.214546345062
5	0.32624113475177	0	175.42201775022	136.89639681568	-27.256251300712	1.8758964553409	10.23218206355
6	0.30589849108368	93.972399245688	66.99607505581	153.12997138846	-41.305317717933	53.891267120339	-26.927644711843
7	0.27375886524823	0	188.26669608464	125.32136604217	-11.074480344615	-4.8257982760652	-19.647069402266
8	0.32027972027972	55.918206296549	23.25805108545	112.28359365863	40.117766917859	-24.166449420944	-4.5385592918937
9	0.28510638297872	0	153.06245212908	142.0793990466	-22.797843234066	-9.094580969943	5.2497703897229
10	0.30446549391069	0	198.55509996211	135.63418104252	-4.7296003305038	-1.4449000378883	-27.284799320551
1	0.29542302357836	185	34	85	-25	-87	-194
2	0.3169014084507	138	100	144	-138	161	-194
3	0.29567642956764	118	137	167	-198	-81	-35
4	0.32447552447552	70	87	152	97	-17	-112
5	0.30583214793741	190	195	191	-65	-92	-9
6	0.31977559607293	110	135	115	64	51	113
7	0.32314410480349	104	13	106	-109	-122	34
8	0.29784172661871	114	124	124	-146	40	-182
9	0.30014025245442	14	150	81	-190	140	-24
10	0.33787465940054	141	133	91	117	200	-146
1	0.30013831258645	158.52258369701	0	0	-26.477416302988	-69.350813318278	-174.05762504959
2	0.26975476839237	13.816983550523	200	0	-124.18301644948	145.08681905576	-174.90004272591
3	0.27385892116183	0	63.444401379437	123.0436262093	-174.43030793176	-73.555598620563	-43.956373790704
4	0.29799426934097	175.26830652791	83.341438032167	35.762440870388	105.26830652791	-3.6585619678335	-116.23755912961
5	0.3056338028169	110.2315744499	85.288930936613	139.49504989776	-79.768425550096	-109.71106906339	-51.504950102237
6	0.29124820659971	167.62554399243	180.89835200049	200	57.625543992431	45.898352000488	101.68022400586
7	0.30477528089888	18.594860683004	0	131.45343485824	-85.405139316996	-68.627478865932	25.453434858242
8	0.33426573426573	0	162.55728324229	0	-123.72815027314	38.557283242286	-173.17670522172
9	0.29512893982808	0	200	61.446266060366	-145.01242103336	122.52134769738	-19.553733939634
10	0.31095890410959	200	200	0	105.3	180	-131.4
1	0.2962962962963	134.22098055627	0	0	-24.30160314074	-58.833698232978	-154.20099734489
2	0.3015214384509	0	200	0	-88.161007250138	113.78503738517	-133.57056886502
3	0.27887323943662	0	29.752106025217	77.285116868731	-94.597119357891	-33.692295354219	-45.758509340565
4	0.28493150684932	200	87.484966012861	0	73.936371160395	4.1435279806947	-79.230926384014
5	0.31497175141243	46.183846150672	0	95.845729272112	-64.047728299232	-87.90825098249	-43.649320625651
6	0.29971988795518	200	198.48806622033	200	32.475152881131	17.589714219842	41.29341441084
7	0.28888888888889	15.400892421217	5.8216028321177	130.44711350206	-3.1939682617877	5.8216028321177	-1.0063213561849
8	0.29846582984658	0	190.39067340291	0	-78.591456953642	27.833390160626	-134.71355296487
9	0.29775280898876	0	200	57.041144347633	-79.638386181219	79.496057008576	-4.4051217127325
10	0.29428571428571	200	200	0	51.198553117466	112.52056031983	-51.056581926939
1	0.32307692307692	112.95674291835	0	0	-21.264237637918	-42.800894528031	-131.83654811243
2	0.31369661266568	0.39431891510551	200	0	0.39431891510551	59.341559739982	-60.492829584643
3	0.29362880886427	0	34.376475519341	43.449781733392	-38.431819483016	4.6243694941231	-33.835335135339
4	0.29126213592233	200	109.02164193901	0	41.178587189288	21.53667592615	-33.033801945325
5	0.31400282885431	5.3848138832712	0	55.700505414585	-40.7990322674	-55.49020947749	-40.145223857527
6	0.28055555555556	200	194.03127746324	200	3.4922178109197	-4.4567887570934	8.0967796563616
7	0.32188841201717	79.191564582982	62.831879889301	109.24793122837	63.790672161765	57.010277057183	-21.199182273685
8	0.30801104972376	0	197.1285236498	0	-29.523579912717	6.7378502468906	-94.646491622669
9	0.26907073509015	0	200	59.335324394207	-62.646668904691	58.656424756615	2.2941800465744
10	0.28769017980636	200	200	12.787080965606	7.9958156376842	58.021841486862	12.787080965606
1	0.30319888734353	105.47330855133	16.752106695761	0	-7.4834343670213	16.752106695761	-80.834585247353
2	0.310888252149	63.179300510563	200	0	62.784981595458	20.921777983947	-9.6710590624714
3	0.29901269393512	29.739329627369	84.212651216991	37.525120294509	29.739329627369	49.836175697651	-5.9246614388835
4	0.33850493653032	187.72674916191	130.97702759367	35.034973311312	-12.273250838091	21.95538565466	35.034973311312
5	0.31481481481481	35.736835779531	11.174598695211	40.467991925105	30.35202189626	11.174598695211	-15.232513489479
